id;longitude;latitude;agriculture;urbanization;species_richness;weighted_mpd;synchrony;weighted_mean_cvpop;CV_com
72_983;425100;2324200;-1.102707497;0.03295085;50;117.1941918;0.046652863;0.458237872;0.098976053
86_411;459100;2200200;-0.73191216;0.040074838;46;117.9281194;0.068855084;0.509281169;0.133636664
87_564;489100;2102200;-2.46186945;0.041931658;52;102.322863;0.030612726;0.415356765;0.072672866
25_992;883100;2232200;-1.61480125;0.070691395;50;104.9235919;0.049887867;0.307431675;0.068666684
63_1352;655100;2066200;-3.228915498;0.075722372;50;111.3482008;0.01900505;0.486426686;0.067058201
70_416;889100;2312200;-2.548149229;0.089892515;47;106.8747862;0.018066716;0.424850976;0.057105276
44_993;311100;2268200;-1.184898123;0.091916967;48;117.2607846;0.051050978;0.427560503;0.096605002
63_136;657100;2118200;-2.622507764;0.094711567;60;107.8883294;0.024238584;0.371268943;0.057801917
87_578;517100;2102200;-2.584828368;0.096514619;48;101.9530696;0.145928088;0.528524281;0.201899103
60_1388;615100;2462200;-0.363984631;0.118487675;48;115.1136099;0.067018297;0.540244775;0.139857986
87_1311;531100;2064200;-3.268392624;0.118963243;52;108.3127966;0.069714354;0.448773326;0.118491757
39_624;847100;2198200;-2.231710883;0.125573491;57;103.780363;0.060891806;0.51062217;0.126002481
8_235;777100;2538200;-1.483689113;0.143777985;52;105.5141849;0.078328383;0.473830757;0.132612001
22_595;263100;2404200;-0.446987416;0.15363028;39;113.1209273;0.069289797;0.369180386;0.097179187
38_1879;859100;1986200;-2.27298902;0.248149706;51;101.020691;0.06504377;0.461639942;0.117735175
67_973;995100;2392200;-0.773239639;0.25471681;50;113.1554955;0.036314603;0.419105767;0.079866432
87_521;507100;2106200;-2.927380669;0.260169666;49;105.7597343;0.106053845;0.484213461;0.157688516
44_1265;281100;2252200;-1.715867017;0.275070971;42;117.2869611;0.067674548;0.544023866;0.141524176
73_1248;957100;2042200;-2.825408811;0.284047488;42;104.3896827;0.150953188;0.660502107;0.256622867
69_411;775100;2096200;-1.875192875;0.287681412;47;111.7649348;0.013423328;0.428066551;0.0495954
17_1096;331100;2082200;-2.026964816;0.306224769;49;118.6758889;0.084799173;0.470669453;0.137060345
27_707;513100;2462200;0.275005041;0.338549501;48;113.3858845;0.103512714;0.525702825;0.16913643
5_967;883100;1958200;-2.336557325;0.364622379;53;103.907609;0.120721324;0.497620372;0.17289807
44_1242;311100;2254200;-1.516808847;0.412464587;42;115.0238631;0.088271115;0.48518109;0.14414951
70_784;879100;2296200;-0.9006917;0.414271166;46;101.6792392;0.104426412;0.619199989;0.200094945
87_547;509100;2104200;-2.797652858;0.430349245;48;114.982557;0.027426415;0.468979228;0.077667286
38_1233;877100;2024200;-2.95398242;0.455663676;44;106.589804;0.0588151;0.40328064;0.097802914
78_397;583100;2416200;1.820895419;0.575230258;46;109.932756;0.067516381;0.634174271;0.164783301
33_257;371100;2030200;-1.329689471;0.607724928;43;118.1380726;0.159934376;0.557572275;0.222983168
54_528;885100;2424200;-0.800619399;0.619816427;50;109.9959595;0.030391804;0.600751542;0.10473049
38_492;889100;2056200;-1.107278967;0.805412534;50;101.9795539;0.162342646;0.468761284;0.188872203
44_1077;307100;2264200;-0.795815686;0.82298798;46;110.984573;0.044152604;0.445683324;0.093649302
19_293;557100;2060200;-2.395735178;0.852018319;56;116.8604266;0.092842718;0.480740357;0.146482083
27_320;515100;2478200;-0.693780735;0.864704495;35;109.1041022;0.08407214;0.409016886;0.118595248
87_594;487100;2100200;-2.118516278;0.903360323;50;114.4779906;0.060520317;0.376073802;0.092517455
23_438;555100;2134200;-3.09788664;1.00916019;49;112.0368572;0.116322226;0.463970843;0.158242101
3_956;621100;2154200;-1.377598325;1.030473385;52;117.217019;0.135205617;0.635665481;0.233736209
54_453;877100;2430200;-0.198020497;1.097974051;55;101.0885285;0.056317864;0.435128736;0.103262076
35_1534;289100;2322200;1.492714633;1.106552744;46;118.0321281;0.052463825;0.374093276;0.085686002
38_685;859100;2048200;-2.106864893;1.202979237;47;102.0281942;0.080971947;0.355988801;0.101298643
76_1250;505100;2502200;0.061424581;1.257185066;45;117.7531418;0.005035581;0.364465655;0.025863149
38_1082;879100;2032200;-1.949140983;1.359821481;46;111.3007804;0.368738948;0.460592092;0.279689384
6_895;991100;1872200;-0.450234911;1.382067168;33;112.5848013;0.190742714;0.609068908;0.266005373
19_1140;537100;2020200;-1.985234708;1.384458176;45;118.7173869;0.051794134;0.420435873;0.09568416
54_593;887100;2420200;-0.027385591;1.401499505;53;81.35076705;0.152044097;0.517244933;0.201688449
44_462;261100;2286200;-0.624184403;1.430893019;53;120.8365099;0.114327703;0.411134499;0.139014359
44_1109;305100;2262200;-0.674907753;1.47589793;41;113.4440553;0.198120054;0.49085287;0.218481945
60_1354;605100;2464200;1.110312986;1.727232138;33;124.5274848;0.090103365;0.41772619;0.1253898
19_1212;535100;2016200;-2.007818316;1.871368384;42;119.2110348;0.080666968;0.548710653;0.155844421
69_642;811100;2080200;0.770740668;1.99462481;45;114.2441473;0.056823902;0.529467671;0.126213257
69_631;789100;2080200;-1.250714309;2.016887304;43;123.7012854;0.038787655;0.59035154;0.116267267
6_984;985100;1864200;-0.332768761;2.02638601;35;125.5046544;0.073761296;0.403654849;0.109628745
44_1178;313100;2258200;-0.860372455;2.088117006;47;117.2019724;0.068238782;0.448276715;0.117101327
6_867;999100;1874200;-0.508462311;2.130068188;39;114.2974141;0.123830285;0.636323076;0.223919084
71_1165;821100;2184200;-1.259823177;2.294951836;46;105.7719523;0.184998921;0.595888105;0.256300418
14_246;411100;2478200;-0.152732655;2.830344838;41;108.1054198;0.059612583;0.3538225;0.086388198
21_1376;801100;2260200;0.717031801;2.85554249;41;119.1830834;0.207710192;0.4911702;0.223851966
17_1232;341100;2072200;0.370854969;2.896778464;48;117.5204526;0.043572905;0.378789894;0.079069072
87_671;517100;2096200;-1.169545843;3.432423278;44;117.7693528;0.061495722;0.389118014;0.096494773
44_1061;255100;2264200;-0.349479709;3.445218051;39;119.2691573;0.062770639;0.49653696;0.124402715
69_601;791100;2082200;-0.363676062;3.768436698;35;127.2578589;0.195423053;0.394761802;0.174511085
69_663;795100;2078200;0.565359805;3.837380287;40;120.65765;0.101424066;0.378899084;0.120668542
33_1206;373100;1986200;1.226842619;3.870395866;36;118.8205627;0.132454191;0.506723197;0.18441814
44_1236;299100;2254200;0.057589925;4.256608861;44;110.1682289;0.05375748;0.463742611;0.107521782
33_1204;369100;1986200;3.607182082;5.33283251;26;94.57949881;0.384879784;0.353198144;0.219119467
